,State,Year,Month,Indicator,Data Value,Percent Complete,Percent Pending Investigation,State Name,Predicted Value
287,AK,2016,September,Methadone (T40.3),17,100.0,0.0469924812030075,Alaska,18
288,AK,2017,April,Psychostimulants with abuse potential (T43.6),52,100.0,0.069364161849711,Alaska,53
289,AK,2017,April,Cocaine (T40.5),16,100.0,0.069364161849711,Alaska,17
291,AK,2017,April,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",44,100.0,0.069364161849711,Alaska,45
293,AK,2017,April,"Opioids (T40.0-T40.4,T40.6)",78,100.0,0.069364161849711,Alaska,79
294,AK,2017,April,Number of Drug Overdose Deaths,117,100.0,0.069364161849711,Alaska,118
295,AK,2017,April,Natural & semi-synthetic opioids (T40.2),30,100.0,0.069364161849711,Alaska,31
296,AK,2017,April,Heroin (T40.1),43,100.0,0.069364161849711,Alaska,44
297,AK,2017,April,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",35,100.0,0.069364161849711,Alaska,36
299,AK,2017,April,"Synthetic opioids, excl. methadone (T40.4)",12,100.0,0.069364161849711,Alaska,13
301,AK,2017,August,"Opioids (T40.0-T40.4,T40.6)",99,100.0,0.0472366556447803,Alaska,100
303,AK,2017,August,Cocaine (T40.5),21,100.0,0.0472366556447803,Alaska,22
304,AK,2017,August,Heroin (T40.1),46,100.0,0.0472366556447803,Alaska,47
305,AK,2017,August,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",48,100.0,0.0472366556447803,Alaska,49
307,AK,2017,August,Natural & semi-synthetic opioids (T40.2),44,100.0,0.0472366556447803,Alaska,45
308,AK,2017,August,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",68,100.0,0.0472366556447803,Alaska,69
309,AK,2017,August,"Synthetic opioids, excl. methadone (T40.4)",29,100.0,0.0472366556447803,Alaska,30
310,AK,2017,August,Number of Drug Overdose Deaths,137,100.0,0.0472366556447803,Alaska,138
311,AK,2017,August,Psychostimulants with abuse potential (T43.6),64,100.0,0.0472366556447803,Alaska,65
313,AK,2017,December,Cocaine (T40.5),18,100.0,0.0,Alaska,18
314,AK,2017,December,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",50,100.0,0.0,Alaska,50
315,AK,2017,December,Natural & semi-synthetic opioids (T40.2),46,100.0,0.0,Alaska,46
316,AK,2017,December,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",75,100.0,0.0,Alaska,75
317,AK,2017,December,"Opioids (T40.0-T40.4,T40.6)",100,100.0,0.0,Alaska,100
319,AK,2017,December,Heroin (T40.1),36,100.0,0.0,Alaska,36
320,AK,2017,December,Number of Drug Overdose Deaths,141,100.0,0.0,Alaska,141
321,AK,2017,December,"Synthetic opioids, excl. methadone (T40.4)",37,100.0,0.0,Alaska,37
323,AK,2017,December,Psychostimulants with abuse potential (T43.6),64,100.0,0.0,Alaska,65
324,AK,2017,February,"Opioids (T40.0-T40.4,T40.6)",90,100.0,0.0690131124913734,Alaska,91
325,AK,2017,February,"Synthetic opioids, excl. methadone (T40.4)",11,100.0,0.0690131124913734,Alaska,12
327,AK,2017,February,Psychostimulants with abuse potential (T43.6),54,100.0,0.0690131124913734,Alaska,55
329,AK,2017,February,Natural & semi-synthetic opioids (T40.2),36,100.0,0.0690131124913734,Alaska,37
330,AK,2017,February,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",42,100.0,0.0690131124913734,Alaska,43
332,AK,2017,February,Cocaine (T40.5),18,100.0,0.0690131124913734,Alaska,19
333,AK,2017,February,Heroin (T40.1),49,100.0,0.0690131124913734,Alaska,50
334,AK,2017,February,Number of Drug Overdose Deaths,124,100.0,0.0690131124913734,Alaska,125
335,AK,2017,February,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",50,100.0,0.0690131124913734,Alaska,51
337,AK,2017,January,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",47,100.0,0.0685871056241426,Alaska,48
338,AK,2017,January,"Synthetic opioids, excl. methadone (T40.4)",10,100.0,0.0685871056241426,Alaska,11
339,AK,2017,January,"Opioids (T40.0-T40.4,T40.6)",93,100.0,0.0685871056241426,Alaska,94
340,AK,2017,January,Number of Drug Overdose Deaths,126,100.0,0.0685871056241426,Alaska,127
342,AK,2017,January,Psychostimulants with abuse potential (T43.6),55,100.0,0.0685871056241426,Alaska,56
343,AK,2017,January,Methadone (T40.3),11,100.0,0.0685871056241426,Alaska,12
344,AK,2017,January,Natural & semi-synthetic opioids (T40.2),40,100.0,0.0685871056241426,Alaska,41
345,AK,2017,January,Cocaine (T40.5),15,100.0,0.0685871056241426,Alaska,16
346,AK,2017,January,Heroin (T40.1),50,100.0,0.0685871056241426,Alaska,51
347,AK,2017,January,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",54,100.0,0.0685871056241426,Alaska,55
348,AK,2017,July,Heroin (T40.1),44,100.0,0.0708215297450425,Alaska,45
349,AK,2017,July,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",44,100.0,0.0708215297450425,Alaska,45
350,AK,2017,July,Cocaine (T40.5),20,100.0,0.0708215297450425,Alaska,21
352,AK,2017,July,"Opioids (T40.0-T40.4,T40.6)",91,100.0,0.0708215297450425,Alaska,92
354,AK,2017,July,Number of Drug Overdose Deaths,128,100.0,0.0708215297450425,Alaska,129
355,AK,2017,July,Psychostimulants with abuse potential (T43.6),59,100.0,0.0708215297450425,Alaska,60
356,AK,2017,July,"Synthetic opioids, excl. methadone (T40.4)",27,100.0,0.0708215297450425,Alaska,28
358,AK,2017,July,Natural & semi-synthetic opioids (T40.2),40,100.0,0.0708215297450425,Alaska,41
359,AK,2017,July,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",63,100.0,0.0708215297450425,Alaska,64
360,AK,2017,June,"Opioids (T40.0-T40.4,T40.6)",85,100.0,0.0701590271281572,Alaska,86
362,AK,2017,June,"Synthetic opioids, excl. methadone (T40.4)",24,100.0,0.0701590271281572,Alaska,25
363,AK,2017,June,Natural & semi-synthetic opioids (T40.2),35,100.0,0.0701590271281572,Alaska,36
364,AK,2017,June,Psychostimulants with abuse potential (T43.6),54,100.0,0.0701590271281572,Alaska,55
365,AK,2017,June,Heroin (T40.1),42,100.0,0.0701590271281572,Alaska,43
366,AK,2017,June,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",40,100.0,0.0701590271281572,Alaska,41
367,AK,2017,June,Number of Drug Overdose Deaths,122,100.0,0.0701590271281572,Alaska,123
369,AK,2017,June,Cocaine (T40.5),20,100.0,0.0701590271281572,Alaska,21
371,AK,2017,June,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",57,100.0,0.0701590271281572,Alaska,58
372,AK,2017,March,Heroin (T40.1),47,100.0,0.0688231245698555,Alaska,48
374,AK,2017,March,Cocaine (T40.5),19,100.0,0.0688231245698555,Alaska,20
375,AK,2017,March,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",41,100.0,0.0688231245698555,Alaska,42
376,AK,2017,March,Psychostimulants with abuse potential (T43.6),55,100.0,0.0688231245698555,Alaska,56
377,AK,2017,March,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",49,100.0,0.0688231245698555,Alaska,50
378,AK,2017,March,Natural & semi-synthetic opioids (T40.2),35,100.0,0.0688231245698555,Alaska,36
380,AK,2017,March,"Opioids (T40.0-T40.4,T40.6)",87,100.0,0.0688231245698555,Alaska,88
381,AK,2017,March,Number of Drug Overdose Deaths,126,100.0,0.0688231245698555,Alaska,127
382,AK,2017,March,"Synthetic opioids, excl. methadone (T40.4)",11,100.0,0.0688231245698555,Alaska,12
384,AK,2017,May,"Opioids (T40.0-T40.4,T40.6)",81,100.0,0.0701426233341127,Alaska,82
385,AK,2017,May,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",39,100.0,0.0701426233341127,Alaska,40
387,AK,2017,May,Methadone (T40.3),10,100.0,0.0701426233341127,Alaska,11
388,AK,2017,May,Number of Drug Overdose Deaths,120,100.0,0.0701426233341127,Alaska,121
389,AK,2017,May,"Synthetic opioids, excl. methadone (T40.4)",21,100.0,0.0701426233341127,Alaska,22
391,AK,2017,May,Natural & semi-synthetic opioids (T40.2),32,100.0,0.0701426233341127,Alaska,33
392,AK,2017,May,Psychostimulants with abuse potential (T43.6),52,100.0,0.0701426233341127,Alaska,53
393,AK,2017,May,Heroin (T40.1),40,100.0,0.0701426233341127,Alaska,41
394,AK,2017,May,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",53,100.0,0.0701426233341127,Alaska,54
395,AK,2017,May,Cocaine (T40.5),18,100.0,0.0701426233341127,Alaska,19
396,AK,2017,November,Cocaine (T40.5),17,100.0,0.0,Alaska,17
398,AK,2017,November,Number of Drug Overdose Deaths,138,100.0,0.0,Alaska,138
399,AK,2017,November,Psychostimulants with abuse potential (T43.6),67,100.0,0.0,Alaska,68
400,AK,2017,November,"Opioids (T40.0-T40.4,T40.6)",97,100.0,0.0,Alaska,97
401,AK,2017,November,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",47,100.0,0.0,Alaska,47
402,AK,2017,November,Natural & semi-synthetic opioids (T40.2),43,100.0,0.0,Alaska,43
403,AK,2017,November,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",70,100.0,0.0,Alaska,70
406,AK,2017,November,"Synthetic opioids, excl. methadone (T40.4)",33,100.0,0.0,Alaska,33
407,AK,2017,November,Heroin (T40.1),38,100.0,0.0,Alaska,38
408,AK,2017,October,"Synthetic opioids, excl. methadone (T40.4)",33,100.0,0.0,Alaska,33
410,AK,2017,October,Psychostimulants with abuse potential (T43.6),70,100.0,0.0,Alaska,71
411,AK,2017,October,Heroin (T40.1),46,100.0,0.0,Alaska,46
412,AK,2017,October,"Opioids (T40.0-T40.4,T40.6)",103,100.0,0.0,Alaska,103
414,AK,2017,October,Cocaine (T40.5),20,100.0,0.0,Alaska,20
415,AK,2017,October,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",49,100.0,0.0,Alaska,49
417,AK,2017,October,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",72,100.0,0.0,Alaska,72
418,AK,2017,October,Number of Drug Overdose Deaths,144,100.0,0.0,Alaska,144
419,AK,2017,October,Natural & semi-synthetic opioids (T40.2),45,100.0,0.0,Alaska,45
422,AK,2017,September,"Synthetic opioids, excl. methadone (T40.4)",32,100.0,0.0232612235403582,Alaska,33
424,AK,2017,September,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",52,100.0,0.0232612235403582,Alaska,53
425,AK,2017,September,Number of Drug Overdose Deaths,148,100.0,0.0232612235403582,Alaska,148
426,AK,2017,September,Psychostimulants with abuse potential (T43.6),68,100.0,0.0232612235403582,Alaska,69
427,AK,2017,September,Heroin (T40.1),46,100.0,0.0232612235403582,Alaska,47
428,AK,2017,September,"Opioids (T40.0-T40.4,T40.6)",106,100.0,0.0232612235403582,Alaska,106
429,AK,2017,September,Cocaine (T40.5),22,100.0,0.0232612235403582,Alaska,23
430,AK,2017,September,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",74,100.0,0.0232612235403582,Alaska,75
431,AK,2017,September,Natural & semi-synthetic opioids (T40.2),48,100.0,0.0232612235403582,Alaska,49
432,AK,2018,April,"Opioids (T40.0-T40.4,T40.6)",102,100.0,0.0,Alaska,102
433,AK,2018,April,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",55,100.0,0.0,Alaska,55
435,AK,2018,April,Natural & semi-synthetic opioids (T40.2),48,100.0,0.0,Alaska,48
437,AK,2018,April,"Synthetic opioids, excl. methadone (T40.4)",38,100.0,0.0,Alaska,38
438,AK,2018,April,Methadone (T40.3),11,100.0,0.0,Alaska,12
439,AK,2018,April,Heroin (T40.1),36,100.0,0.0,Alaska,36
440,AK,2018,April,Number of Drug Overdose Deaths,142,100.0,0.0,Alaska,142
441,AK,2018,April,Psychostimulants with abuse potential (T43.6),61,100.0,0.0,Alaska,62
442,AK,2018,April,Cocaine (T40.5),15,100.0,0.0,Alaska,15
443,AK,2018,April,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",80,100.0,0.0,Alaska,80
444,AK,2018,August,"Opioids (T40.0-T40.4,T40.6)",73,100.0,0.0,Alaska,73
445,AK,2018,August,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",42,100.0,0.0,Alaska,42
446,AK,2018,August,"Synthetic opioids, excl. methadone (T40.4)",19,100.0,0.0,Alaska,19
448,AK,2018,August,Natural & semi-synthetic opioids (T40.2),37,100.0,0.0,Alaska,37
449,AK,2018,August,Psychostimulants with abuse potential (T43.6),47,100.0,0.0,Alaska,48
451,AK,2018,August,Heroin (T40.1),24,100.0,0.0,Alaska,24
454,AK,2018,August,Number of Drug Overdose Deaths,110,100.0,0.0,Alaska,110
455,AK,2018,August,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",56,100.0,0.0,Alaska,56
456,AK,2018,December,"Opioids (T40.0-T40.4,T40.6)",65,100.0,0.0,Alaska,65
457,AK,2018,December,"Synthetic opioids, excl. methadone (T40.4)",16,100.0,0.0,Alaska,16
459,AK,2018,December,Psychostimulants with abuse potential (T43.6),49,100.0,0.0,Alaska,50
460,AK,2018,December,Natural & semi-synthetic opioids (T40.2),33,100.0,0.0,Alaska,33
463,AK,2018,December,Heroin (T40.1),28,100.0,0.0,Alaska,28
464,AK,2018,December,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",37,100.0,0.0,Alaska,37
465,AK,2018,December,Number of Drug Overdose Deaths,105,100.0,0.0,Alaska,105
